"rule_id","authority","standard","ig_version","severity","message","pattern","check_tree_preview","status","converted_at","p21_primitive","notes"
"CG0554","CDISC","SDTM-IG","3.3,3.4","Medium","STUDYID, DOMAIN, and --SEQ exist and at least one of USUBJID, APID, SPDEVID, or POOLID",NA,NA,"narrative",NA,NA,NA
"CG0555","CDISC","SDTM-IG","3.3,3.4","Medium","Terminology is for non-normalized parameter (Codelist ""PKUNIT"")",NA,NA,"narrative",NA,NA,NA
"CG0556","CDISC","SDTM-IG","3.3,3.4","Medium","Terminology is for parameter normalized by dose amount",NA,NA,"narrative",NA,NA,NA
"CG0557","CDISC","SDTM-IG","3.3,3.4","Medium","Terminology is for parameter normalized by weight",NA,NA,"narrative",NA,NA,NA
"CG0558","CDISC","SDTM-IG","3.3,3.4","Medium","Terminology is for non-normalized parameter",NA,NA,"narrative",NA,NA,NA
"CG0559","CDISC","SDTM-IG","3.3,3.4","Medium","Terminology is for parameter normalized by dose amount",NA,NA,"narrative",NA,NA,NA
"CG0560","CDISC","SDTM-IG","3.3,3.4","Medium","Terminology is for parameter normalized by weight",NA,NA,"narrative",NA,NA,NA
"CG0562","CDISC","SDTM-IG","3.3,3.4","Medium","--REPNUM ^= null and unique per subject per test per the timing variables",NA,NA,"narrative",NA,NA,NA
"CG0563","CDISC","SDTM-IG","3.3,3.4","Medium","RSDRVFL = 'Y'",NA,NA,"blocker:requires-data-collection-tool-metadata","2026-04-24T04:31:01Z",NA,"Q4 triage: condition not machine-checkable against SDTM columns."
"CG0570","CDISC","SDTM-IG","3.3,3.4","Medium","ARM not in ('Screen Failure', 'Not Assigned', 'Unplanned Treatment', 'Not Treated')",NA,NA,"narrative",NA,NA,NA
