"rule_id","reason","ds","ops","detail"
"CORE-000146","neither-fires","TI","not_exists,is_not_unique_set","ds=TI class=TRIAL DESIGN firstcols=TIVERS,IETESTCD"
"CORE-000178","leaf-not-seedable","SS","equal_to,date_less_than","op=date_less_than"
"CORE-000203","neither-fires","DM","equal_to,is_not_unique_set,not_equal_to,is_not_unique_set","ds=DM class=NA firstcols=RDOMAIN,USUBJID"
"CORE-000206","neither-fires","CO","non_empty,non_empty,not_equal_to","ds=CO class=SPECIAL PURPOSE firstcols=IDVAR,IDVARVAL"
"CORE-000211","leaf-not-seedable","RELREC","equal_to_case_insensitive,matches_regex","op=matches_regex"
"CORE-000212","neither-fires","DS","is_not_unique_set,equal_to,not_exists","ds=DS class=EVENTS firstcols=DSCAT,DSSCAT"
"CORE-000216","neither-fires","SM","is_contained_by,equal_to,is_not_unique_set","ds=SM class=SPECIAL PURPOSE firstcols=MIDSTYPE,TMRPT"
"CORE-000219","leaf-not-seedable","DM","equal_to_case_insensitive","op=equal_to_case_insensitive"
"CORE-000221","neither-fires","RELREC","not_matches_regex","ds=RELREC class=RELATIONSHIP firstcols=QNAM"
"CORE-000238","leaf-not-seedable","DM","is_contained_by,not_equal_to,not_equal_to","op=not_equal_to"
"CORE-000239","leaf-not-seedable","DM","is_contained_by,not_equal_to","op=not_equal_to"
"CORE-000250","leaf-not-seedable","MH","non_empty,date_greater_than_or_equal_to","op=date_greater_than_or_equal_to"
"CORE-000272","leaf-not-seedable","DM","equal_to_case_insensitive","op=equal_to_case_insensitive"
"CORE-000302","neither-fires","RELREC","is_not_unique_relationship","ds=RELREC class=RELATIONSHIP firstcols=QLABEL,QNAM"
"CORE-000305","both-fire","DM","non_empty,contains","ds=DM class=NA firstcols=DMDUR"
"CORE-000334","leaf-not-seedable","DM","not_contains_all","op=not_contains_all"
"CORE-000355","leaf-not-seedable","DM","not_contains_all","op=not_contains_all"
"CORE-000356","leaf-not-seedable","DM","exists,is_contained_by,empty","op=exists"
"CORE-000370","leaf-not-seedable","DS","contains,date_not_equal_to,equal_to","op=date_not_equal_to"
"CORE-000376","leaf-not-seedable","LB","equal_to,is_not_contained_by,prefix_is_not_contained_by","op=equal_to"
"CORE-000473","leaf-not-seedable","TS","equal_to,greater_than_or_equal_to,not_equal_to,non_empty","op=greater_than_or_equal_to"
"CORE-000502","leaf-not-seedable","CO","non_empty,is_not_contained_by","op=is_not_contained_by"
"CORE-000529","leaf-not-seedable","DM","non_empty,is_complete_date,is_complete_date,not_equal_to","op=not_equal_to"
"CORE-000539","leaf-not-seedable","DM","matches_regex,not_prefix_matches_regex,prefix_is_not_contained_by","op=prefix_is_not_contained_by"
"CORE-000540","leaf-not-seedable","DM","matches_regex,prefix_equal_to,suffix_is_not_contained_by","op=suffix_is_not_contained_by"
"CORE-000542","neither-fires","LB","non_empty,matches_regex,empty,not_equal_to","ds=LB class=FINDINGS firstcols=LBSTRESC,LBSTRESN"
"CORE-000544","neither-fires","DM","exists,non_empty,is_not_unique_set,exists,non_empty,is_not_unique_set","ds=DM class=NA firstcols=_placeholder_,USUBJID,DMSEQ,POOLID"
"CORE-000550","leaf-not-seedable","DM","is_not_contained_by","op=is_not_contained_by"
"CORE-000579","leaf-not-seedable","DM","equal_to","op=equal_to"
"CORE-000598","both-fire","DM","prefix_not_equal_to","ds=DM class=NA firstcols=dataset_name"
"CORE-000658","leaf-not-seedable","DM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000672","leaf-not-seedable","LB","non_empty,non_empty,less_than_or_equal_to","op=less_than_or_equal_to"
"CORE-000679","leaf-not-seedable","DS","equal_to,does_not_contain","op=does_not_contain"
"CORE-000685","leaf-not-seedable","DM","exists,not_exists,is_inconsistent_across_dataset,is_inconsistent_across_dataset","op=is_inconsistent_across_dataset"
"CORE-000686","leaf-not-seedable","DM","not_exists,exists,is_inconsistent_across_dataset,is_inconsistent_across_dataset","op=is_inconsistent_across_dataset"
"CORE-000689","leaf-not-seedable","DM","exists,exists,is_inconsistent_across_dataset,is_inconsistent_across_dataset","op=is_inconsistent_across_dataset"
"CORE-000699","leaf-not-seedable","LB","is_inconsistent_across_dataset","op=is_inconsistent_across_dataset"
"CORE-000707","leaf-not-seedable","LB","exists,exists,non_empty,non_empty,greater_than","op=greater_than"
"CORE-000708","leaf-not-seedable","CM","non_empty,non_empty,greater_than","op=greater_than"
"CORE-000711","leaf-not-seedable","DM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000712","leaf-not-seedable","RELREC","exists,non_empty,is_not_contained_by","op=is_not_contained_by"
"CORE-000713","leaf-not-seedable","DM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000714","leaf-not-seedable","DM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000717","leaf-not-seedable","AE","non_empty,date_greater_than","op=date_greater_than"
"CORE-000718","leaf-not-seedable","CM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000720","leaf-not-seedable","CM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000730","neither-fires","TS","equal_to,non_empty,invalid_duration","ds=TS class=TRIAL DESIGN firstcols=TSPARMCD,TSVAL"
"CORE-000731","neither-fires","TS","equal_to,non_empty,invalid_duration","ds=TS class=TRIAL DESIGN firstcols=TSPARMCD,TSVAL"
"CORE-000733","leaf-not-seedable","TS","equal_to,equal_to,less_than","op=equal_to"
"CORE-000736","leaf-not-seedable","TS","equal_to,equal_to,greater_than_or_equal_to,greater_than_or_equal_to,non_empty","op=greater_than_or_equal_to"
"CORE-000741","leaf-not-seedable","TS","not_contains_all,equal_to,empty,equal_to,empty,equal_to,empty,not_equal_to","op=not_equal_to"
"CORE-000742","leaf-not-seedable","TS","equal_to,not_equal_to","op=equal_to"
"CORE-000757","neither-fires","CM","empty,non_empty,not_equal_to","ds=CM class=INTERVENTIONS firstcols=CMDECOD,RELREC.FAOBJ,CMTRT"
"CORE-000760","leaf-not-seedable","DM","non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000765","leaf-not-seedable","DM","greater_than","op=greater_than"
"CORE-000783","leaf-not-seedable","RELREC","is_contained_by","op=is_contained_by"
"CORE-000787","leaf-not-seedable","TS","empty,matches_regex","op=matches_regex"
"CORE-000843","leaf-not-seedable","SV","non_empty,is_contained_by","op=is_contained_by"
"CORE-000844","leaf-not-seedable","DM","greater_than_or_equal_to,not_exists","op=greater_than_or_equal_to"
"CORE-000845","leaf-not-seedable","DM","equal_to,is_not_contained_by","op=is_not_contained_by"
"CORE-000846","leaf-not-seedable","DM","equal_to,less_than_or_equal_to","op=less_than_or_equal_to"
"CORE-000866","leaf-not-seedable","LB","exists,exists,non_empty,non_empty,date_greater_than","op=date_greater_than"
"CORE-000880","both-fire","BS","non_empty,contains","ds=BS class=FINDINGS firstcols=BSPDUR"
"CORE-000887","leaf-not-seedable","DM","equal_to,equal_to,is_not_contained_by_case_insensitive,is_not_contained_by","op=is_not_contained_by"
"CORE-000889","leaf-not-seedable","LB","non_empty,matches_regex,non_empty,matches_regex,less_than_or_equal_to","op=less_than_or_equal_to"
"CORE-000901","neither-fires","PP","non_empty,non_empty,equal_to,not_equal_to","ds=PP class=FINDINGS firstcols=PPCAT,RELREC.PCRFTDTC,PPRFTDTC"
"CORE-000914","neither-fires","LB","non_empty,equal_to,is_not_unique_set","ds=LB class=FINDINGS firstcols=LBSTRESC,LBBLFL"
"CORE-000915","neither-fires","LB","non_empty,equal_to,is_not_unique_set","ds=LB class=FINDINGS firstcols=LBSTRESC,LBLOBXFL"
"CORE-000916","leaf-not-seedable","RELREC","exists,non_empty,is_not_contained_by","op=is_not_contained_by"
"CORE-000952","neither-fires","CM","non_empty,non_empty,date_greater_than","ds=CM class=INTERVENTIONS firstcols=CMENDTC,DM.RFPENDTC"
"CORE-000953","leaf-not-seedable","CO","exists,non_empty,is_not_contained_by","op=is_not_contained_by"
"CORE-001034","leaf-not-seedable","LB","exists,greater_than,empty,is_not_unique_set","op=greater_than"
"CORE-001078","leaf-not-seedable","AE","equal_to,does_not_contain,does_not_contain","op=does_not_contain"
"CORE-001079","leaf-not-seedable","DM","not_equal_to,not_equal_to,not_equal_to,not_equal_to,not_equal_to,not_equal_to,is_not_contained_by","op=is_not_contained_by"
"CORE-001080","leaf-not-seedable","TS","prefix_equal_to,non_empty,is_not_contained_by","op=non_empty"
